market,symbol,quote_symbol,display_name,universe_tags
BIST,ESEN,ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,BIST
BIST,ETILR,ETILR.IS,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,BIST
BIST,ETYAT,ETYAT.IS,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,EUHOL,EUHOL.IS,EURO YATIRIM HOLDİNG A.Ş.,BIST
BIST,EUKYO,EUKYO.IS,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,EUPWR,EUPWR.IS,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,BIST
BIST,EUREN,EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,BIST
BIST,EUYO,EUYO.IS,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,EYGYO,EYGYO.IS,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,FADE,FADE.IS,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,BIST
BIST,FLAP,FLAP.IS,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,BIST
BIST,FMIZP,FMIZP.IS,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,BIST
BIST,FONET,FONET.IS,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,BIST
BIST,FORMT,FORMT.IS,FORMET METAL VE CAM SANAYİ A.Ş.,BIST
BIST,FORTE,FORTE.IS,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,BIST
BIST,FRIGO,FRIGO.IS,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,FROTO,FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.,BIST
BIST,FZLGY,FZLGY.IS,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,GARAN,GARAN.IS,TÜRKİYE GARANTİ BANKASI A.Ş.,BIST
BIST,GARFA,GARFA.IS,GARANTİ FAKTORİNG A.Ş.,BIST
BIST,GEDIK,GEDIK.IS,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,BIST
BIST,GEDZA,GEDZA.IS,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,BIST
BIST,GENIL,GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,GENTS,GENTS.IS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,BIST
BIST,GEREL,GEREL.IS,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,BIST
BIST,GESAN,GESAN.IS,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,BIST
BIST,GIPTA,GIPTA.IS,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,BIST
BIST,GLBMD,GLBMD.IS,GLOBAL MENKUL DEĞERLER A.Ş.,BIST
BIST,GLCVY,GLCVY.IS,GELECEK VARLIK YÖNETİMİ A.Ş.,BIST
