symbol,quote_symbol,name,country,is_bist,is_nasdaq,is_sp500,is_tefas,universe_tags
ASJ,ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
ASTOR,ASTOR.IS,ASTOR ENERJİ A.Ş.,TR,True,False,False,False,BIST
ASUZU,ASUZU.IS,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ATAGY,ATAGY.IS,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
ATAKP,ATAKP.IS,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ATATP,ATATP.IS,ATP YAZILIM VE TEKNOLOJİ A.Ş.,TR,True,False,False,False,BIST
ATEKS,ATEKS.IS,AKIN TEKSTİL A.Ş.,TR,True,False,False,False,BIST
ATJ,ATJ,AZİMUT PORTFÖY ÇINAR SERBEST (TL) ÖZEL FON,TR,False,False,False,True,TEFAS
ATLAS,ATLAS.IS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
ATSYH,ATSYH.IS,ATLANTİS YATIRIM HOLDİNG A.Ş.,TR,True,False,False,False,BIST
AU1,AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,TR,False,False,False,True,TEFAS
AUT,AUT,ATA PORTFÖY DENGELİ DEĞİŞKEN FON,TR,False,False,False,True,TEFAS
AUV,AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AVC,AVC,ATA PORTFÖY İKİNCİ SERBEST (TL) FON,TR,False,False,False,True,TEFAS
AVGYO,AVGYO.IS,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
AVHOL,AVHOL.IS,AVRUPA YATIRIM HOLDİNG A.Ş.,TR,True,False,False,False,BIST
AVOD,AVOD.IS,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,TR,True,False,False,False,BIST
AVT,AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,TR,False,False,False,True,TEFAS
AVTUR,AVTUR.IS,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,TR,True,False,False,False,BIST
AVZ,AVZ,AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON,TR,False,False,False,True,TEFAS
AY6,AY6,AZİMUT PORTFÖY 26.0 SERBEST FON,TR,False,False,False,True,TEFAS
AY7,AY7,AZİMUT PORTFÖY 27.0 SERBEST FON,TR,False,False,False,True,TEFAS
AYA,AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AYCES,AYCES.IS,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,TR,True,False,False,False,BIST
AYDEM,AYDEM.IS,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,TR,True,False,False,False,BIST
AYEN,AYEN.IS,AYEN ENERJİ A.Ş.,TR,True,False,False,False,BIST
AYES,AYES.IS,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,TR,True,False,False,False,BIST
AYGAZ,AYGAZ.IS,AYGAZ A.Ş.,TR,True,False,False,False,BIST
AYR,AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,TR,False,False,False,True,TEFAS
AZF,AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,TR,False,False,False,True,TEFAS
AZJ,AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,TR,False,False,False,True,TEFAS
AZTEK,AZTEK.IS,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,TR,True,False,False,False,BIST
AZV,AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
AZZ,AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
BA1,BA1,GLOBAL MD PORTFÖY BİRİNCİ SERBEST FON,TR,False,False,False,True,TEFAS
BAC,BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BAG,BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,TR,False,False,False,True,TEFAS
BAGFS,BAGFS.IS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,TR,True,False,False,False,BIST
BAKAB,BAKAB.IS,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
BAL,BAL,QNB PORTFÖY BALY SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
BALAT,BALAT.IS,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
BANVT,BANVT.IS,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,TR,True,False,False,False,BIST
BAO,BAO,AZİMUT PORTFÖY BARKIN SERBEST (TL) ÖZEL FON,TR,False,False,False,True,TEFAS
BARMA,BARMA.IS,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
BAS,BAS,İŞ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
BASCM,BASCM.IS,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
BASGZ,BASGZ.IS,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
BAYRK,BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
BBF,BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,TR,False,False,False,True,TEFAS
BBI,BBI,ALLBATROSS PORTFÖY BİANCO SERBEST (TL) FON,TR,False,False,False,True,TEFAS
BBN,BBN,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BBO,BBO,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BBP,BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,TR,False,False,False,True,TEFAS
BBS,BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,TR,False,False,False,True,TEFAS
BCC,BCC,QINVEST PORTFÖY BCC SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
BCK,BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,TR,False,False,False,True,TEFAS
BCO,BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,TR,False,False,False,True,TEFAS
BDA,BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,TR,False,False,False,True,TEFAS
BDC,BDC,AURA PORTFÖY BODRUM SERBEST FON,TR,False,False,False,True,TEFAS
BDI,BDI,PARDUS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BDO,BDO,BULLS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BDS,BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BDY,BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BERA,BERA.IS,BERA HOLDİNG A.Ş.,TR,True,False,False,False,BIST
BEYAZ,BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.,TR,True,False,False,False,BIST
BFE,BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,TR,False,False,False,True,TEFAS
BFO,BFO,İŞ PORTFÖY BFO1 SERBEST (DÖVİZ) ÖZEL FON,TR,False,False,False,True,TEFAS
BFREN,BFREN.IS,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
BFS,BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,TR,False,False,False,True,TEFAS
BFT,BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
BGH,BGH,AZİMUT PORTFÖY BGN SERBEST ÖZEL FON,TR,False,False,False,True,TEFAS
