quote_symbol,display_name_quote,last,change,change_percent,volume,open,high,low,prev_close,currency,exchange_name,exchange_code,market_state,market_time
BHO,,1.116182,0.0026530000000000165,0.2382515408220187,,,,,1.113529,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BI5,,2.233515,-0.05867399999999989,-2.5597365662255553,,,,,2.292189,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIA,,0.244081,-0.0044570000000000165,-1.7932871432135191,,,,,0.248538,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BID,,3.379286,-0.030968000000000107,-0.9080848523306506,,,,,3.410254,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIG,,1.376432,-0.015512999999999888,-1.1144836900883215,,,,,1.391945,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIH,,7.508186,-0.003680999999999379,-0.04900246503298553,,,,,7.511867,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIK,,1.474651,0.0061670000000000336,0.4199569079404361,,,,,1.468484,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIO,,2.483047,-0.018140999999999963,-0.7252953396545947,,,,,2.501188,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIP,,1.438942,0.003193999999999919,0.2224624376979748,,,,,1.435748,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIS,,1.622178,0.0012139999999998263,0.07489370522724911,,,,,1.620964,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BIY,,1.271331,-0.006345999999999963,-0.49668265140563406,,,,,1.277677,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BJD,,49.419353,0.0108460000000008,0.02195168536462921,,,,,49.408507,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BKO,,1.128808,0.0023610000000000575,0.20959707824691776,,,,,1.126447,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BKY,,45.883502,0.016416999999997017,0.035792551456010374,,,,,45.867085,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BLA,,7.439341,-0.014022999999999897,-0.18814323304215247,,,,,7.453364,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BLD,,1.470305,0.003125999999999962,0.21306193722783395,,,,,1.467179,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BLH,,49.222014,-0.6303429999999963,-1.2644196542201531,,,,,49.852357,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BLT,,1.787085,-0.007762999999999964,-0.43251573392287057,,,,,1.794848,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BMU,,1.204809,-0.007050000000000001,-0.5817508472520319,,,,,1.211859,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BNC,,2.004657,-0.010686000000000195,-0.5302323227361395,,,,,2.015343,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BND,,37.88311,0.0956030000000041,0.25300160711846936,,,,,37.787507,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BNH,,1.322119,-0.01703499999999991,-1.2720717706850677,,,,,1.339154,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BOE,,39.784261,-0.12751300000000043,-0.3194871768917123,,,,,39.911774,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BOH,,0.953728,-0.030139999999999945,-3.063419076542783,,,,,0.983868,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BOL,,1.563612,-0.00665300000000002,-0.4236864478288709,,,,,1.570265,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BON,,1.252602,-0.0033760000000000456,-0.26879451710141783,,,,,1.255978,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
